App,Category,Rating,NumReviews,Size,Installs,Charge,Price,ContentRating
"Find Real Love — YouLove Premium Dating",DATING,4.5,212626,11M,10000000,Free,0,"Mature 17+"
"Mutual - LDS Dating",DATING,3.7,1439,38M,50000,Free,0,"Mature 17+"
"Cougar Dating Life : Date Older Women Sugar Mummy",DATING,3.9,1645,31M,500000,Free,0,"Mature 17+"
"stranger chat - anonymous chat",DATING,3.5,13204,6.1M,1000000,Free,0,"Mature 17+"
"Millionaire Match: Rich Singles Dating App",DATING,3.9,853,27M,100000,Free,0,"Mature 17+"
2RedBeans,DATING,4,337,32M,10000,Free,0,"Mature 17+"
"Dating for 50 plus Mature Singles – FINALLY",DATING,4.6,13049,13M,500000,Free,0,"Mature 17+"
"SweetRing - Meet, Match, Date",DATING,4,51698,63M,1000000,Free,0,"Mature 17+"
"BiggerCity: Chat for gay bears, chubs & chasers",DATING,4.1,923,44M,100000,Free,0,"Mature 17+"
"Moco+ - Chat, Meet People",DATING,4.2,1546,"Varies with device",10000,Paid,3.99,"Mature 17+"
"SilverSingles: The 50+ Dating App",DATING,3.3,149,16M,10000,Free,0,"Mature 17+"
"Herpes Positive Singles Dating",DATING,4.4,198,28M,10000,Free,0,"Mature 17+"
"Chat Rooms, Avatars, Date - Galaxy",DATING,4.3,135420,"Varies with device",10000000,Free,0,"Mature 17+"
"FastMeet: Chat, Dating, Love",DATING,4.2,22545,5.9M,1000000,Free,0,"Mature 17+"
"Christian Dating For Free App",DATING,3.9,8723,13M,500000,Free,0,"Mature 17+"
"Glam - Premium Dating App",DATING,4.3,23170,9.0M,500000,Free,0,"Mature 17+"
"iDates - Chats, Flirts, Dating, Love & Relations",DATING,3.4,13890,20M,500000,Free,0,"Mature 17+"
"Meet24 - Love, Chat, Singles",DATING,4.2,57083,7.9M,1000000,Free,0,"Mature 17+"
"Black White Interracial Dating - Interracial Match",DATING,4.1,537,28M,100000,Free,0,"Mature 17+"
JustDating,DATING,4,13440,49M,500000,Free,0,"Mature 17+"
"Interracial Match Dating App",DATING,3.6,143,27M,10000,Free,0,"Mature 17+"
"Russian Dating & Chat for Russian speaking RusDate",DATING,4.2,1059,18M,100000,Free,0,"Mature 17+"
"Sky People (SPI): A secure blind date through authentication by Seoul National University",DATING,3.5,894,14M,100000,Free,0,"Mature 17+"
"Sweet mi - unlimited hunnam hunting blind date",DATING,4,6191,27M,500000,Free,0,"Mature 17+"
"Gay Sugar Daddy Dating & Hookup – Sudy Gay",DATING,4.1,2212,41M,100000,Free,0,"Mature 17+"
"Mingle - Online Dating App to Chat & Meet People",DATING,4.1,15081,38M,1000000,Free,0,"Mature 17+"
"Adult Dirty Emojis",DATING,2.8,80,5.5M,10000,Free,0,Teen
"BBW Dating & Curvy Singles Chat- LargeFriends",DATING,4.4,218,27M,10000,Free,0,"Mature 17+"
"Hide App, Private Dating, Safe Chat - PrivacyHider",DATING,4.4,35205,7.2M,1000000,Free,0,Everyone
"Hitwe - meet people and chat",DATING,4.2,243950,21M,10000000,Free,0,"Mature 17+"
"A hundred",DATING,4.1,236,8.8M,10000,Free,0,"Mature 17+"
"JustSayHi- Dating App. Chat & Meet Singles Nearby",DATING,4.2,5152,38M,100000,Free,0,"Mature 17+"
"FERZU - Furries Social Network",DATING,3.9,1576,"Varies with device",10000,Free,0,"Mature 17+"
"WannaMeet – Dating & Chat App",DATING,4.1,6701,11M,1000000,Free,0,"Mature 17+"
"Meet4U - Chat, Love, Singles!",DATING,4.2,40039,6.5M,1000000,Free,0,"Mature 17+"
"Luxy Pro- Elite Dating Single",DATING,3.9,742,26M,50000,Free,0,"Mature 17+"
"Dating Network",DATING,4,187,19M,10000,Free,0,"Mature 17+"
"Chatting - Free chat, random chat, boyfriend, girlfriend",DATING,4.2,2506,6.1M,500000,Free,0,"Mature 17+"
"iPair-Meet, Chat, Dating",DATING,4.5,182986,77M,5000000,Free,0,"Mature 17+"
"Meet, chat & date. Free dating app - Chocolate app",DATING,3.9,8661,9.5M,1000000,Free,0,"Mature 17+"
"Transenger – Ts Dating and Chat for Free",DATING,3.6,8,14M,1000,Free,0,"Mature 17+"
O-Star,DATING,4.4,59,38M,5000,Free,0,Everyone
"Free Cam Girls - Live Webcam",DATING,3.5,35,16M,1000,Free,0,"Mature 17+"
"Cardi B Live Stream Video Chat - Prank",DATING,4.4,28,3.4M,500,Free,0,Everyone
"Live Girls Talk - Free Video Chat",DATING,4.8,125,4.7M,5000,Free,0,"Mature 17+"
"Live Talk - Free Text and Video Chat",DATING,4.6,185,5.0M,10000,Free,0,"Mature 17+"
"Chat Kids - Chat Room For Kids",DATING,4.7,6,4.9M,100,Free,0,"Mature 17+"
"Girls Live Chat - Free Text & Video Chat",DATING,4.8,110,4.9M,10000,Free,0,"Mature 17+"
"Random Video Chat",DATING,4.3,3,16M,1000,Free,0,"Mature 17+"
MouseMingle,DATING,2.7,3,3.9M,100,Free,0,"Mature 17+"
"American Girls Mobile Numbers",DATING,5,5,4.4M,1000,Free,0,"Mature 17+"
"Random Video Chat App With Strangers",DATING,4.3,3,4.8M,1000,Free,0,"Mature 17+"
"FREE VIDEO CHAT - LIVE VIDEO AND TEXT CHAT",DATING,4.8,84,4.5M,1000,Free,0,"Mature 17+"
"Awake Dating",DATING,5,2,70M,100,Free,0,"Mature 17+"
"Live Chat - Free Video Chat Rooms",DATING,4.8,20,4.9M,500,Free,0,"Mature 17+"
"Meet With Strangers: Video Chat & Dating",DATING,4.3,2,3.7M,500,Free,0,"Mature 17+"
"FREE LIVE TALK",DATING,4.9,776,4.9M,5000,Free,0,"Mature 17+"
"Random Chat App with Strangers",DATING,3,2,16M,100,Free,0,"Mature 17+"
"Ost. Zombies Cast - New Music and Lyrics",DATING,4.3,1,4.6M,100,Free,0,Teen
"Dating White Girls",DATING,4.3,0,3.6M,50,Free,0,"Mature 17+"
"Live Chat - Free Video Talk",DATING,4.7,14,21M,5000,Free,0,"Mature 17+"
"Geeks Dating",DATING,4.3,0,13M,50,Free,0,"Mature 17+"
"Live chat - free video chat",DATING,4.3,1,8.7M,500,Free,0,"Mature 17+"
"House party - live chat",DATING,1,1,9.2M,10,Free,0,"Mature 17+"
"Fishing Brain & Boating Maps Marine",DATING,4.3,3,6.9M,500,Free,0,Everyone
"CAM5678 Video Chat",DATING,4.3,0,39M,500,Free,0,"Mature 17+"
"Video chat live advices",DATING,4.3,0,8.0M,100,Free,0,Everyone
"chat live chat",DATING,4.3,24,3.9M,1000,Free,0,"Mature 17+"
"Pet Lovers Dating",DATING,4.3,0,14M,10,Free,0,"Mature 17+"
"Friend Find: free chat + flirt dating app",DATING,4.3,23,11M,100,Free,0,"Mature 17+"
"Latin Dating",DATING,4.3,0,13M,10,Free,0,"Mature 17+"
"Spine- The dating app",DATING,5,5,9.3M,500,Free,0,Teen
"Online Chat Girls Meet",DATING,4.7,18,5.0M,500,Free,0,"Mature 17+"
"Wifi Mingle",DATING,4.3,0,10.0M,10,Free,0,Everyone
"Girls Live Talk - Free Text and Video Chat",DATING,5,6,5.0M,100,Free,0,"Mature 17+"
"Soy Luna - Top Music And Lyrics",DATING,4.3,1,5.0M,100,Free,0,Teen
"When Will You Get Married",DATING,4.3,2,3.6M,10,Free,0,Everyone
"HOW TO ASK A GIRL OUT",DATING,4.3,0,19M,10,Free,0,Everyone
"Online Girls Chat Group",DATING,5,5,5.0M,100,Free,0,"Mature 17+"
"The DJ - Match with People",DATING,4.3,0,9.8M,50,Free,0,"Mature 17+"
"Toronto Dating",DATING,4.3,0,14M,100,Free,0,"Mature 17+"
"i miss you quotes and photos",DATING,4.3,0,5.0M,100,Free,0,Everyone
"JoJo Siwa Top Hits Music",DATING,4.3,0,4.9M,10,Free,0,Teen
"UK Girls Mobile Numbers",DATING,3,1,5.5M,500,Free,0,"Mature 17+"
"chat saudi arabia",DATING,4.1,11,11M,1000,Free,0,"Mature 17+"
"Chat Click - Dating Search",DATING,4.3,4,3.8M,500,Free,0,"Mature 17+"
"Iraq love chat",DATING,4.3,14,5.0M,50,Free,0,Teen
"Healthy Relationships Guide",DATING,4.3,0,8.2M,1,Free,0,Everyone
following,DATING,4.3,1,21M,10,Free,0,"Mature 17+"
"Gods by Night",DATING,4.3,104,12M,1000,Free,0,"Mature 17+"
PlusOne,DATING,4.3,0,10M,1,Free,0,"Mature 17+"
"Love Calendar - Couple Sharing Calendar & CoupleDay",DATING,4.3,14,3.3M,50,Free,0,Everyone
"Speeding Joyride & Car Meet App",DATING,5,3,25M,100,Free,0,"Mature 17+"
"LOBSTR - go on a lunch date",DATING,3.7,101,15M,10000,Free,0,"Mature 17+"
"Titanic App - Feminist Dating Application",DATING,4.5,120,10M,500,Free,0,"Mature 17+"
"French Chat Room",DATING,4.2,24,4.9M,1000,Free,0,"Mature 17+"
"Soul Mate",DATING,4.3,0,4.4M,10,Free,0,"Mature 17+"
"Diamond Engagement Rings",DATING,4.3,0,3.5M,5,Free,0,Everyone
"Dating Tips For Men",DATING,4.3,0,7.8M,10,Free,0,Everyone
Halalguur,DATING,4.3,6,9.0M,100,Free,0,"Mature 17+"
"95Live -SG#1 Live Streaming App",DATING,4.1,4954,15M,1000000,Free,0,Teen
"Just She - Top Lesbian Dating",DATING,1.9,954,19M,100000,Free,0,"Mature 17+"
"Hily: Dating, Chat, Match, Meet & Hook up",DATING,4.1,2560,56M,100000,Free,0,"Mature 17+"
O-Star,DATING,4.4,59,38M,5000,Free,0,Everyone
"Random Video Chat",DATING,4.3,3,16M,1000,Free,0,"Mature 17+"
"Black People Meet Singles Date",DATING,3.9,10212,5.0M,1000000,Free,0,"Mature 17+"
Howlr,DATING,3.9,105,27M,5000,Free,0,"Mature 17+"
"Find Lover",DATING,4.3,21,4.7M,1000,Free,0,"Mature 17+"
"Free Dating & Flirt Chat - Choice of Love",DATING,4,42197,"Varies with device",5000000,Free,0,"Mature 17+"
"Cardi B Live Stream Video Chat - Prank",DATING,4.4,28,3.4M,500,Free,0,Everyone
"Chat Kids - Chat Room For Kids",DATING,4.7,6,4.9M,100,Free,0,"Mature 17+"
"muzmatch: Muslim & Arab Singles, Marriage & Dating",DATING,3.8,5168,25M,100000,Free,0,"Mature 17+"
"BBW Dating & Plus Size Chat",DATING,4.4,12633,29M,1000000,Free,0,"Mature 17+"
"2Date Dating App, Love and matching",DATING,4.4,41605,8.1M,500000,Free,0,"Mature 17+"
"Transenger – Ts Dating and Chat for Free",DATING,3.6,8,14M,1000,Free,0,"Mature 17+"
"BBW Dating & Curvy Singles Chat- LargeFriends",DATING,4.4,218,27M,10000,Free,0,"Mature 17+"
MouseMingle,DATING,2.7,3,3.9M,100,Free,0,"Mature 17+"
"FlirtChat - ♥Free Dating/Flirting App♥",DATING,4.3,2433,13M,500000,Free,0,"Mature 17+"
"Live Talk - Free Text and Video Chat",DATING,4.6,185,5.0M,10000,Free,0,"Mature 17+"
"Adult Dirty Emojis",DATING,2.8,80,5.5M,10000,Free,0,Teen
"Free Cam Girls - Live Webcam",DATING,3.5,35,16M,1000,Free,0,"Mature 17+"
"Random Video Chat App With Strangers",DATING,4.3,3,4.8M,1000,Free,0,"Mature 17+"
"Teenage Chat & Dating",DATING,3.4,5,14M,500,Free,0,"Mature 17+"
"Live Girls Talk - Free Video Chat",DATING,4.8,125,4.7M,5000,Free,0,"Mature 17+"
"Girls Online Talk - Free Text and Video Chat",DATING,4.7,791,3.7M,10000,Free,0,"Mature 17+"
"Girls Live Chat - Free Text & Video Chat",DATING,4.8,110,4.9M,10000,Free,0,"Mature 17+"
"Online Girls Chat",DATING,4.8,5323,3.5M,50000,Free,0,"Mature 17+"
"LIVE VIDEO TALK",DATING,4.7,478,4.5M,10000,Free,0,"Mature 17+"
"Free Dating App - Meet Local Singles - Flirt Chat",DATING,4.1,825,"Varies with device",100000,Free,0,"Mature 17+"
"SkyLove – Dating and chat",DATING,3.5,69,36M,5000,Free,0,"Mature 17+"
"Free Live Talk-Video Call",DATING,4.7,158,4.5M,10000,Free,0,"Mature 17+"
FindLoving,DATING,3.8,24,19M,1000,Free,0,"Mature 17+"
"Sugar Daddies Dating App",DATING,2.9,53,14M,10000,Free,0,"Mature 17+"
"iPair-Meet, Chat, Dating",DATING,4.5,182986,77M,5000000,Free,0,"Mature 17+"
"Free Dating Hook Up Messenger",DATING,3.3,1157,21M,100000,Free,0,"Mature 17+"
"Free Dating App - YoCutie - Flirt, Chat & Meet",DATING,4.1,97699,7.9M,1000000,Free,0,"Mature 17+"
"Chat Mexico: meet people, flirt and friendship",DATING,4.3,8,9.3M,5000,Free,0,"Mature 17+"
"Duolingo: Learn Languages Free",EDUCATION,4.7,6289924,"Varies with device",100000000,Free,0,Everyone
TED,EDUCATION,4.6,181893,18M,10000000,Free,0,"Everyone 10+"
"English Communication - Learn English for Chinese (Learn English for Chinese)",EDUCATION,4.7,2544,18M,100000,Free,0,Everyone
"Khan Academy",EDUCATION,4.6,85375,21M,5000000,Free,0,Everyone
"Learn English with Wlingua",EDUCATION,4.7,314299,3.3M,10000000,Free,0,Everyone
"Ai La Trieu Phu - ALTP Free",EDUCATION,4.3,776,24M,100000,Free,0,Everyone
"Princess Coloring Book",EDUCATION,4.5,9770,39M,5000000,Free,0,Everyone
"Learn Spanish - Español",EDUCATION,4.7,32346,3.2M,1000000,Free,0,Everyone
"English Grammar Test",EDUCATION,4.8,4075,5.1M,500000,Free,0,Everyone
"Speed Reading",EDUCATION,4.6,10611,11M,500000,Free,0,Everyone
"English for beginners",EDUCATION,4.6,9321,27M,1000000,Free,0,Everyone
"Flame - درب عقلك يوميا",EDUCATION,4.6,56065,37M,1000000,Free,0,Everyone
Mermaids,EDUCATION,4.2,14286,"Varies with device",5000000,Free,0,Everyone
"Learn Japanese, Korean, Chinese Offline & Free",EDUCATION,4.9,133136,26M,1000000,Free,0,Everyone
"Kids Mode",EDUCATION,3.8,2469,11M,500000,Free,0,Everyone
"PBS KIDS Video",EDUCATION,4.2,36212,"Varies with device",5000000,Free,0,Everyone
"Dinosaurs Coloring Pages",EDUCATION,4.4,390,41M,500000,Free,0,Everyone
"Cars Coloring Pages",EDUCATION,4.4,1090,49M,1000000,Free,0,Everyone
"Babbel – Learn Languages",EDUCATION,4.3,266948,21M,10000000,Free,0,Everyone
"Math Tricks",EDUCATION,4.5,342918,8.1M,10000000,Free,0,Everyone
"Monster Truck Driver & Racing",EDUCATION,4.4,748,51M,1000000,Free,0,Everyone
"Learn English Words Free",EDUCATION,4.6,172640,14M,5000000,Free,0,Everyone
"Japanese / English one-shop search dictionary - Free Japanese - English - Japanese dictionary application",EDUCATION,3.9,61,18M,50000,Free,0,"Mature 17+"
"English speaking texts",EDUCATION,4.4,1619,3.0M,1000000,Free,0,Everyone
"Thai Handwriting",EDUCATION,4.3,3168,19M,1000000,Free,0,Everyone
"THAI DICT 2018",EDUCATION,4.4,29855,"Varies with device",1000000,Free,0,"Mature 17+"
"Kanji test · Han search Kanji training (free version)",EDUCATION,4.2,6736,22M,1000000,Free,0,"Mature 17+"
"Game for KIDS: KIDS match'em",EDUCATION,4.4,7005,6.9M,1000000,Free,0,Everyone
"Flippy Campus - Buy & sell on campus at a discount",EDUCATION,4,889,7.4M,500000,Free,0,Everyone
"Free intellectual training game application |",EDUCATION,4.2,5741,84M,1000000,Free,0,Everyone
"ABC Preschool Free",EDUCATION,3.8,27572,25M,5000000,Free,0,Everyone
"PINKFONG Baby Shark",EDUCATION,4.5,10852,18M,1000000,Free,0,Everyone
"English words application mikan",EDUCATION,4.7,9888,"Varies with device",500000,Free,0,Everyone
"Learn English for beginners",EDUCATION,4.5,1929,2.5M,500000,Free,0,Everyone
"Listen and learn English in seven days",EDUCATION,4.3,1516,3.9M,100000,Free,0,Everyone
"Lumosity: #1 Brain Games & Cognitive Training App",EDUCATION,4.2,215301,"Varies with device",10000000,Free,0,Everyone
"Learn English from Persian: Persian to English",EDUCATION,4.3,423,21M,100000,Free,0,Everyone
"English with Lingualeo",EDUCATION,4.7,254519,27M,5000000,Free,0,Everyone
"Learn languages, grammar & vocabulary with Memrise",EDUCATION,4.7,1107903,"Varies with device",10000000,Free,0,Everyone
"Khan Academy",EDUCATION,4.6,85375,21M,5000000,Free,0,Everyone
TED,EDUCATION,4.6,181893,18M,10000000,Free,0,"Everyone 10+"
"Quizlet: Learn Languages & Vocab with Flashcards",EDUCATION,4.6,211856,"Varies with device",10000000,Free,0,Everyone
"Udemy - Online Courses",EDUCATION,4.5,99020,18M,1000000,Free,0,Everyone
"Coursera: Online courses",EDUCATION,4.4,90481,"Varies with device",5000000,Free,0,Everyone
"edX - Online Courses by Harvard, MIT & more",EDUCATION,4.6,32381,10M,1000000,Free,0,"Everyone 10+"
"Elevate - Brain Training Games",EDUCATION,4.5,248912,"Varies with device",5000000,Free,0,Everyone
"NeuroNation - Focus and Brain Training",EDUCATION,4.5,248555,"Varies with device",5000000,Free,0,Everyone
"Lumosity: #1 Brain Games & Cognitive Training App",EDUCATION,4.2,215301,"Varies with device",10000000,Free,0,Everyone
"Peak – Brain Games & Training",EDUCATION,4.4,272145,"Varies with device",10000000,Free,0,Everyone
"Memorado - Brain Games",EDUCATION,4.4,56897,97M,1000000,Free,0,Everyone
"Lynda - Online Training Videos",EDUCATION,4.2,8599,17M,1000000,Free,0,Everyone
Brilliant,EDUCATION,4.5,41185,"Varies with device",1000000,Free,0,Everyone
"CppDroid - C/C++ IDE",EDUCATION,4.1,29980,"Varies with device",1000000,Free,0,Everyone
"Quiz&Learn Python",EDUCATION,4,304,2.0M,10000,Free,0,Everyone
"C++ Tutorials",EDUCATION,4.1,358,1.9M,50000,Free,0,Everyone
"C++ Programming",EDUCATION,4.3,11904,1.8M,1000000,Free,0,Everyone
"C Programming",EDUCATION,4.3,22251,1.8M,1000000,Free,0,Everyone
"Udacity - Lifelong Learning",EDUCATION,4.3,22384,17M,1000000,Free,0,Everyone
"Udemy - Online Courses",EDUCATION,4.5,99020,18M,1000000,Free,0,Everyone
"Learn C++",EDUCATION,4.6,73404,5.3M,1000000,Free,0,Everyone
"Learn programming",EDUCATION,4.1,12733,"Varies with device",1000000,Free,0,Everyone
"Learn JavaScript",EDUCATION,4.6,25183,5.4M,1000000,Free,0,Everyone
"Learn Java",EDUCATION,4.7,52743,5.4M,1000000,Free,0,Everyone
"Learn HTML",EDUCATION,4.7,61749,5.4M,1000000,Free,0,Everyone
"Programming Hub, Learn to code",EDUCATION,4.3,55704,15M,1000000,Free,0,Everyone
"Learn SQL",EDUCATION,4.7,19277,5.3M,1000000,Free,0,Everyone
"Ready4 SAT (Prep4 SAT)",EDUCATION,4.6,13612,48M,100000,Free,0,Everyone
"Socratic - Math Answers & Homework Help",EDUCATION,4.6,37862,5.4M,1000000,Free,0,Everyone
"Ready4 GMAT (Prep4 GMAT)",EDUCATION,4.6,18372,47M,100000,Free,0,Everyone
"Pocket GMAT Math",EDUCATION,4.3,656,556k,10000,Free,0,Everyone
"GMAT Question Bank",EDUCATION,4.2,240,29M,10000,Free,0,Everyone
"GRE Tutor",EDUCATION,4,275,2.3M,50000,Free,0,Everyone
"GRE Flashcards",EDUCATION,4.5,13791,"Varies with device",500000,Free,0,Everyone
"play2prep: ACT, SAT prep",EDUCATION,4.2,3692,4.4M,100000,Free,0,Everyone
"SAT Test",EDUCATION,4.1,2363,6.6M,100000,Free,0,Everyone
"GMAT Math Flashcards",EDUCATION,4.4,1769,"Varies with device",100000,Free,0,Everyone
"Pocket SAT Math",EDUCATION,4,430,526k,10000,Free,0,Everyone
"TOEFL Prep & Practice from Magoosh",EDUCATION,4.5,756,12M,100000,Free,0,Everyone
"GRE Prep & Practice by Magoosh",EDUCATION,4.4,3963,"Varies with device",100000,Free,0,Everyone
"GRE® Flashcards by Kaplan",EDUCATION,4,316,29M,50000,Free,0,Everyone
"SAT Vocabulary",EDUCATION,4.2,642,"Varies with device",50000,Free,0,Everyone
"Magoosh GMAT Prep & Practice",EDUCATION,4.3,1058,"Varies with device",100000,Free,0,Everyone
"SAT Flashcards: Prep & Vocabulary",EDUCATION,4.2,2277,"Varies with device",100000,Free,0,Everyone
"Khan Academy",EDUCATION,4.6,85375,21M,5000000,Free,0,Everyone
TED,EDUCATION,4.6,181893,18M,10000000,Free,0,"Everyone 10+"
"Duolingo: Learn Languages Free",EDUCATION,4.7,6290507,"Varies with device",100000000,Free,0,Everyone
"Quizlet: Learn Languages & Vocab with Flashcards",EDUCATION,4.6,211856,"Varies with device",10000000,Free,0,Everyone
"Coursera: Online courses",EDUCATION,4.4,90481,"Varies with device",5000000,Free,0,Everyone
"Udemy - Online Courses",EDUCATION,4.5,99020,18M,1000000,Free,0,Everyone
"Udacity - Lifelong Learning",EDUCATION,4.3,22384,17M,1000000,Free,0,Everyone
"edX - Online Courses by Harvard, MIT & more",EDUCATION,4.6,32380,10M,1000000,Free,0,"Everyone 10+"
"Rosetta Stone: Learn to Speak & Read New Languages",EDUCATION,4.5,172505,76M,5000000,Free,0,Everyone
"Google Classroom",EDUCATION,4.2,69493,"Varies with device",10000000,Free,0,Everyone
"Lynda - Online Training Videos",EDUCATION,4.2,8599,17M,1000000,Free,0,Everyone
"Learn languages, grammar & vocabulary with Memrise",EDUCATION,4.7,1107884,"Varies with device",10000000,Free,0,Everyone
Brilliant,EDUCATION,4.5,41185,"Varies with device",1000000,Free,0,Everyone
"LinkedIn Learning: Online Courses to Learn Skills",EDUCATION,4.6,7973,18M,1000000,Free,0,Everyone
"Babbel – Learn Languages",EDUCATION,4.3,266935,21M,10000000,Free,0,Everyone
"Learn English with Phrases",EDUCATION,4.2,5695,"Varies with device",1000000,Free,0,Everyone
"Free english course",EDUCATION,4.7,142632,6.9M,5000000,Free,0,Everyone
"Duolingo: Learn Languages Free",EDUCATION,4.7,6290507,"Varies with device",100000000,Free,0,Everyone
"Learn 50 languages",EDUCATION,4.4,55256,14M,5000000,Free,0,Everyone
"Rosetta Stone: Learn to Speak & Read New Languages",EDUCATION,4.5,172508,76M,5000000,Free,0,Everyone
"Babbel – Learn Spanish",EDUCATION,4.4,54798,11M,1000000,Free,0,Everyone
"Mango Languages: Lovable Language Courses",EDUCATION,4,4815,19M,500000,Free,0,Everyone
"Learn English with Aco",EDUCATION,4.6,75112,6.5M,1000000,Free,0,Everyone
"Learn to Speak English",EDUCATION,4.4,33646,7.0M,1000000,Free,0,Everyone
"Learn languages, grammar & vocabulary with Memrise",EDUCATION,4.7,1107903,"Varies with device",10000000,Free,0,Everyone
"Learn English with Wlingua",EDUCATION,4.7,314300,3.3M,10000000,Free,0,Everyone
"busuu: Learn Languages - Spanish, English & More",EDUCATION,4.3,206527,21M,10000000,Free,0,"Everyone 10+"
"My Class Schedule: Timetable",EDUCATION,4.1,9348,"Varies with device",1000000,Free,0,Everyone
"Study Checker",EDUCATION,4.2,3816,2.6M,500000,Free,0,Everyone
"My Study Life - School Planner",EDUCATION,4.3,47847,21M,1000000,Free,0,Everyone
HomeWork,EDUCATION,4.3,16195,5.2M,1000000,Free,0,Everyone
"Next Gen Science Standards",EDUCATION,4.3,206,18M,50000,Free,0,Everyone
"myHomework Student Planner",EDUCATION,4,28392,"Varies with device",1000000,Free,0,Everyone
"Teacher's Gradebook - Additio",EDUCATION,4.2,3241,16M,100000,Free,0,Everyone
"Common Core",EDUCATION,4,835,15M,100000,Free,0,Everyone
"Homework Planner",EDUCATION,4,2525,1.2M,100000,Free,0,Everyone
TeachersPayTeachers,EDUCATION,3.8,828,"Varies with device",100000,Free,0,Everyone
"Quizlet: Learn Languages & Vocab with Flashcards",EDUCATION,4.6,211856,"Varies with device",10000000,Free,0,Everyone
Edmodo,EDUCATION,4.1,200058,18M,10000000,Free,0,Everyone
"Socrative Teacher",EDUCATION,3.9,1239,1.8M,100000,Free,0,Everyone
"Training schedule - AllUniver",EDUCATION,4.1,702,7.6M,10000,Free,0,Everyone
"Remind: School Communication",EDUCATION,4.5,108613,"Varies with device",10000000,Free,0,Everyone
"Google Classroom",EDUCATION,4.2,69498,"Varies with device",10000000,Free,0,Everyone
ClassDojo,EDUCATION,4.4,148550,59M,10000000,Free,0,Everyone
"Duolingo: Learn Languages Free",EDUCATION,4.7,6290507,"Varies with device",100000000,Free,0,Everyone
"Lerni. Learn languages.",EDUCATION,4,3847,6.9M,500000,Free,0,Everyone
"Learn 50 languages",EDUCATION,4.4,55256,14M,5000000,Free,0,Everyone
"HelloTalk — Chat, Speak & Learn Foreign Languages",EDUCATION,4.4,84309,41M,5000000,Free,0,Everyone
"Mango Languages: Lovable Language Courses",EDUCATION,4,4815,19M,500000,Free,0,Everyone
"Rosetta Stone: Learn to Speak & Read New Languages",EDUCATION,4.5,172508,76M,5000000,Free,0,Everyone
"Learn languages, grammar & vocabulary with Memrise",EDUCATION,4.7,1107948,"Varies with device",10000000,Free,0,Everyone
"Babbel – Learn Languages",EDUCATION,4.3,266948,21M,10000000,Free,0,Everyone
"Innovative: Learn 34 Languages",EDUCATION,4.5,14206,21M,500000,Free,0,Everyone
"busuu: Learn Languages - Spanish, English & More",EDUCATION,4.3,206532,21M,10000000,Free,0,"Everyone 10+"
"My Class Schedule: Timetable",EDUCATION,4.1,9348,"Varies with device",1000000,Free,0,Everyone
"Chegg Study - Homework Help",EDUCATION,4.3,14700,21M,1000000,Free,0,Everyone
"Canvas Student",EDUCATION,4.5,42828,"Varies with device",1000000,Free,0,Everyone
Timetable,EDUCATION,4.2,40209,"Varies with device",1000000,Free,0,Everyone
"Socratic - Math Answers & Homework Help",EDUCATION,4.6,37862,5.4M,1000000,Free,0,Everyone
"EasyBib: Citation Generator",EDUCATION,3.5,1405,7.3M,100000,Free,0,Everyone
"Google Classroom",EDUCATION,4.2,69498,"Varies with device",10000000,Free,0,Everyone
ClassDojo,EDUCATION,4.4,148549,59M,10000000,Free,0,Everyone
"HelloTalk — Chat, Speak & Learn Foreign Languages",EDUCATION,4.4,84311,41M,5000000,Free,0,Everyone
"Quizlet: Learn Languages & Vocab with Flashcards",EDUCATION,4.6,211856,"Varies with device",10000000,Free,0,Everyone
"busuu: Learn Languages - Spanish, English & More",EDUCATION,4.3,206532,21M,10000000,Free,0,"Everyone 10+"
"Rosetta Stone: Learn to Speak & Read New Languages",EDUCATION,4.5,172508,76M,5000000,Free,0,Everyone
"SoloLearn: Learn to Code for Free",EDUCATION,4.8,256079,7.6M,1000000,Free,0,Teen
"Kids Learn Languages by Mondly",EDUCATION,4.4,2078,"Varies with device",100000,Free,0,Everyone
"Blinkist - Nonfiction Books",EDUCATION,4.1,16103,13M,1000000,Free,0,Everyone
"Sago Mini Hat Maker",EDUCATION,4.9,11,63M,1000,Paid,3.99,Everyone
"Fuzzy Numbers: Pre-K Number Foundation",EDUCATION,4.7,21,44M,1000,Paid,5.99,Everyone
"Toca Life: City",EDUCATION,4.7,31085,24M,500000,Paid,3.99,Everyone
"Toca Life: Hospital",EDUCATION,4.7,3528,24M,100000,Paid,3.99,Everyone
Netflix,ENTERTAINMENT,4.4,5456208,"Varies with device",100000000,Free,0,Teen
"Complete Spanish Movies",ENTERTAINMENT,4,11656,4.5M,1000000,Free,0,Everyone
"Pluto TV - It’s Free TV",ENTERTAINMENT,4.2,28948,"Varies with device",1000000,Free,0,Teen
"Tubi TV - Free Movies & TV",ENTERTAINMENT,4.3,296771,11M,10000000,Free,0,Teen
"YouTube Kids",ENTERTAINMENT,4.5,470089,"Varies with device",50000000,Free,0,Everyone
"Mobile TV",ENTERTAINMENT,3.5,10939,4.6M,10000000,Free,0,Everyone
TV+,ENTERTAINMENT,4.2,98509,"Varies with device",5000000,Free,0,Everyone
"Digital TV",ENTERTAINMENT,3.1,5241,"Varies with device",5000000,Free,0,Everyone
